id,askingMemberId,askingMember,house,memberHasInterest,dateTabled,dateForAnswer,uin,questionText,answeringBodyId,answeringBodyName,isWithdrawn,isNamedDay,groupedQuestions,answerIsHolding,answerIsCorrection,answeringMemberId,answeringMember,correctingMemberId,correctingMember,dateAnswered,answerText,originalAnswerText,comparableAnswerText,dateAnswerCorrected,dateHoldingAnswer,attachmentCount,heading,attachments,groupedQuestionsDates,twfy_id,person_name,url,__index_level_0__
1661367,4589,,Commons,true,2023-09-18T00:00:00,2023-10-16T00:00:00,200084,"To ask the Secretary of State for Transport, what assessment he has made of the potential impact of the Habitats Directive on airfield planning applications.",27,Department for Transport,false,false,[],false,false,3991.0,,,,2023-10-16T00:00:00," The Government is supportive of airport growth where it can be delivered within its environmental obligations. Every development proposal should be judged by the relevant planning authority, taking careful account of all relevant considerations, includin...","","",,,0,Aviation: Nature Conservation,[],[],25593,Robert Courts,https://questions-statements.parliament.uk/written-questions/detail/2023-09-18/200084/,547
1661084,1500,,Commons,true,2023-09-15T00:00:00,2023-10-16T00:00:00,199711,"To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, what assessment he has made of the implications for his Department's policies of the signing of a trilateral energy agreement between (a) Greece, (b) Cyprus and (c) Israel; a",208,"Foreign, Commonwealth and Development Office",false,true,[],false,false,4600.0,,,,2023-10-16T00:00:00,"The UK Government is committed to working alongside our partners to protect Europe's energy security. We welcome regional agreements, including this trilateral agreement, which support this aim.","","",,,0,Energy Supply: International Cooperation,[],[],11500,Theresa Villiers,https://questions-statements.parliament.uk/written-questions/detail/2023-09-15/199711/,629
1662123,1521,,Commons,true,2023-09-19T00:00:00,2023-10-16T00:00:00,200237,"To ask the Secretary of State for Health and Social Care, whether his Department has sought meetings with (a) professional societies and (b) charities on education and training on coeliac disease in the past year.",17,Department of Health and Social Care,false,false,[],false,false,4423.0,,,,2023-10-16T00:00:00,The Department has not sought any meetings with professional societies and charities on education and training on coeliac disease in the past year.,"","",,,0,Coeliac Disease: Health Services,[],[],11592,Sharon Hodgson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-19/200237/,688
1662118,1521,,Commons,true,2023-09-19T00:00:00,2023-10-16T00:00:00,200236,"To ask the Secretary of State for Health and Social Care, whether his Department has made an assessment of the potential merits of implementing a public health campaign to raise awareness of coeliac disease and its symptoms.",17,Department of Health and Social Care,false,false,"[200234, 200235]",false,false,4423.0,,,,2023-10-16T00:00:00,"We have made no assessment of the potential merits of assisting primary healthcare professionals to carry out clinical audits for coeliac disease, or the effectiveness of dietetic-led services across the country for people with coeliac disease. It is the ...","","",,,0,Coeliac Disease: Health Education,[],"[{'dateTabled': 2023-09-19T00:00:00, 'questionUin': 200234}, {'dateTabled': 2023-09-19T00:00:00, 'questionUin': 200235}]",11592,Sharon Hodgson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-19/200236/,749
1662117,1521,,Commons,true,2023-09-19T00:00:00,2023-10-16T00:00:00,200235,"To ask the Secretary of State for Health and Social Care, what assessment his Department has made of the effectiveness of dietetic-led services across the country for people with coeliac disease.",17,Department of Health and Social Care,false,false,"[200234, 200236]",false,false,4423.0,,,,2023-10-16T00:00:00,"We have made no assessment of the potential merits of assisting primary healthcare professionals to carry out clinical audits for coeliac disease, or the effectiveness of dietetic-led services across the country for people with coeliac disease. It is the ...","","",,,0,Coeliac Disease: Dietetics,[],"[{'dateTabled': 2023-09-19T00:00:00, 'questionUin': 200234}, {'dateTabled': 2023-09-19T00:00:00, 'questionUin': 200236}]",11592,Sharon Hodgson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-19/200235/,750
1662116,1521,,Commons,true,2023-09-19T00:00:00,2023-10-16T00:00:00,200234,"To ask the Secretary of State for Health and Social Care, whether his Department has made an assessment of the potential merits of assisting primary healthcare professionals to carry out clinical audits for coeliac disease.",17,Department of Health and Social Care,false,false,"[200235, 200236]",false,false,4423.0,,,,2023-10-16T00:00:00,"We have made no assessment of the potential merits of assisting primary healthcare professionals to carry out clinical audits for coeliac disease, or the effectiveness of dietetic-led services across the country for people with coeliac disease. It is the ...","","",,,0,Coeliac Disease: Primary Health Care,[],"[{'dateTabled': 2023-09-19T00:00:00, 'questionUin': 200235}, {'dateTabled': 2023-09-19T00:00:00, 'questionUin': 200236}]",11592,Sharon Hodgson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-19/200234/,751
1660276,4754,,Commons,true,2023-09-12T00:00:00,2023-09-14T00:00:00,199197,"To ask the Secretary of State for Transport, what recent assessment he has made with the Chancellor of the Exchequer of the contribution of the sea going passenger cruise industry to the economy.",27,Department for Transport,false,false,[],false,false,4813.0,,,,2023-09-20T00:00:00,"The Department fully recognises that the cruise sector brings significant economic benefits to the UK, particularly coastal communities. A Maritime UK study published in 2019 showed that in 2017 cruise directly and indirectly contributed £9.4 billion to t...","","",,,0,Passenger Ships,[],[],25793,Peter Gibson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-12/199197/,1341
1660280,4754,,Commons,true,2023-09-12T00:00:00,2023-09-14T00:00:00,199198,"To ask the Secretary of State for Transport, whether his Department plans to take steps to support Passenger Cruise Ships to increase embarkation, disembarkation and visits at UK ports.",27,Department for Transport,false,false,[],false,false,4813.0,,,,2023-09-20T00:00:00,"Pre-pandemic cruising was one of the fastest growing tourism sectors worldwide and the industry is confident that cruise visits to the UK in 2023 will surpass the record levels seen in 2019. In 2022, as the industry recovered from the pandemic, the Depart...","","",,,0,Passenger Ships,[],[],25793,Peter Gibson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-12/199198/,1343
1660456,4592,,Commons,true,2023-09-13T00:00:00,2023-09-18T00:00:00,199423,"To ask the Secretary of State for Health and Social Care, how many and what proportion of NHS managers are registered by (a) the General Medical Council, (b) the Nursing and Midwifery Council and (c) another specified professional regulatory body.",17,Department of Health and Social Care,false,true,[],false,false,4423.0,,,,2023-09-20T00:00:00,"The Department does not hold data on the proportion of National Health Service managers that are registered by the General Medical Council (GMC), the Nursing and Midwifery Council (NMC) or another specified professional regulatory body.Healthcare professi...","","",,2023-09-18T00:00:00,0,NHS: Managers,[],[],25597,Caroline Johnson,https://questions-statements.parliament.uk/written-questions/detail/2023-09-13/199423/,1403
1659493,4005,,Commons,true,2023-09-11T00:00:00,2023-09-13T00:00:00,198647,"To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, what discussions he has had with his counterpart in the Palestinian National Authority on the comments made by the President of the Palestinian National Authority on the Holo",208,"Foreign, Commonwealth and Development Office",false,false,[198646],false,false,4531.0,,,,2023-09-19T00:00:00,"As the FCDO stated publicly on 8 September, the UK condemns the recent antisemitic remarks made by President Abbas. The UK stands firmly against all attempts to distort the Holocaust. Such statements do not advance efforts towards reconciliation. Official...","","",,,0,Mahmoud Abbas,[],"[{'dateTabled': 2023-09-11T00:00:00, 'questionUin': 198646}]",24945,Bob Blackman,https://questions-statements.parliament.uk/written-questions/detail/2023-09-11/198647/,1542
